,MMSI,BaseDateTime,LAT,LON,SOG,COG
7519,338184094,2019-09-08T16:01:59,31.15499,-81.4996,0.0,115.7
7541,338184094,2019-09-08T16:05:00,31.15501,-81.49959,0.0,115.7
7575,338184094,2019-09-08T16:10:59,31.155,-81.49959,0.0,115.7
7621,338184094,2019-09-08T16:17:00,31.155,-81.49955,0.0,115.7
7641,338184094,2019-09-08T16:20:02,31.15501,-81.49957,0.0,115.7
7666,338184094,2019-09-08T16:22:58,31.15499,-81.49957,0.0,115.7
7677,338184094,2019-09-08T16:26:02,31.15501,-81.49957,0.0,115.7
7699,338184094,2019-09-08T16:29:01,31.15499,-81.49957,0.0,115.7
7734,338184094,2019-09-08T16:31:59,31.15497,-81.49956,0.0,115.7
7776,338184094,2019-09-08T16:41:00,31.155,-81.49958,0.0,115.7
7806,338184094,2019-09-08T16:43:58,31.15502,-81.49959,0.0,115.7
7843,338184094,2019-09-08T16:47:01,31.155,-81.49957,0.0,115.7
7845,338184094,2019-09-08T16:49:59,31.155,-81.49956,0.0,115.7
7878,338184094,2019-09-08T16:52:59,31.15501,-81.49957,0.0,115.7
7894,338184094,2019-09-08T16:59:00,31.15501,-81.49957,0.0,115.7
7939,338184094,2019-09-08T17:02:01,31.15501,-81.49957,0.0,115.7
7968,338184094,2019-09-08T17:04:59,31.155,-81.49958,0.0,115.7
7990,338184094,2019-09-08T17:07:59,31.155,-81.49958,0.0,115.7
8011,338184094,2019-09-08T17:10:59,31.155,-81.49957,0.0,115.7
8035,338184094,2019-09-08T17:14:00,31.155,-81.49957,0.0,115.7
8064,338184094,2019-09-08T17:17:00,31.15501,-81.49958,0.0,115.7
8083,338184094,2019-09-08T17:19:59,31.15499,-81.49956,0.0,115.7
8103,338184094,2019-09-08T17:22:59,31.15499,-81.49958,0.0,115.7
8122,338184094,2019-09-08T17:26:00,31.155,-81.49957,0.0,115.7
8155,338184094,2019-09-08T17:28:59,31.15501,-81.49958,0.0,115.7
8174,338184094,2019-09-08T17:32:00,31.15499,-81.49957,0.0,115.7
8195,338184094,2019-09-08T17:35:01,31.155,-81.49956,0.0,115.7
8212,338184094,2019-09-08T17:37:59,31.15499,-81.49957,0.0,115.7
8235,338184094,2019-09-08T17:40:58,31.155,-81.49957,0.0,115.7
8258,338184094,2019-09-08T17:44:00,31.15499,-81.49958,0.0,115.7
8274,338184094,2019-09-08T17:46:59,31.15499,-81.49955,0.0,115.7
8290,338184094,2019-09-08T17:49:59,31.15501,-81.49958,0.0,115.7
8307,338184094,2019-09-08T17:52:59,31.15501,-81.49956,0.0,115.7
8328,338184094,2019-09-08T17:55:58,31.15502,-81.49957,0.0,115.7
8343,338184094,2019-09-08T17:58:59,31.15502,-81.49956,0.0,115.7
8366,338184094,2019-09-08T18:01:58,31.15499,-81.49957,0.0,115.7
8391,338184094,2019-09-08T18:05:03,31.15501,-81.49955,0.0,115.7
8411,338184094,2019-09-08T18:07:59,31.15498,-81.49958,0.0,115.7
8427,338184094,2019-09-08T18:10:59,31.155,-81.49957,0.0,115.7
8452,338184094,2019-09-08T18:13:59,31.15499,-81.49958,0.0,115.7
8469,338184094,2019-09-08T18:16:59,31.15499,-81.49959,0.0,115.7
8495,338184094,2019-09-08T18:19:59,31.15502,-81.49958,0.0,115.7
8515,338184094,2019-09-08T18:22:59,31.15501,-81.4996,0.0,115.7
8532,338184094,2019-09-08T18:26:02,31.15499,-81.49957,0.0,115.7
8555,338184094,2019-09-08T18:28:59,31.15497,-81.49959,0.0,115.7
8571,338184094,2019-09-08T18:32:00,31.15498,-81.49959,0.0,115.7
8590,338184094,2019-09-08T18:35:00,31.15502,-81.49958,0.0,115.7
8608,338184094,2019-09-08T18:37:58,31.155,-81.49958,0.0,115.7
8636,338184094,2019-09-08T18:41:01,31.15501,-81.49959,0.0,115.7
8649,338184094,2019-09-08T18:43:59,31.15498,-81.49958,0.0,115.7
8668,338184094,2019-09-08T18:46:59,31.15497,-81.49957,0.0,115.7
8688,338184094,2019-09-08T18:49:59,31.155,-81.49958,0.0,115.7
8706,338184094,2019-09-08T18:52:59,31.155,-81.49958,0.0,115.7
8723,338184094,2019-09-08T18:56:00,31.15499,-81.49959,0.0,115.7
8742,338184094,2019-09-08T18:58:59,31.15498,-81.4996,0.0,115.7
8765,338184094,2019-09-08T19:01:59,31.15499,-81.49959,0.0,115.7
8782,338184094,2019-09-08T19:05:00,31.155,-81.49958,0.0,115.7
8804,338184094,2019-09-08T19:07:59,31.15501,-81.49958,0.0,115.7
